county,state,latitude,longitude
Jefferson County,Alabama,33.5543,-86.8964
Mobile County,Alabama,30.7877,-88.2058
Madison County,Alabama,34.7631,-86.5502
Baldwin County,Alabama,30.7277,-87.7226
Tuscaloosa County,Alabama,33.2896,-87.5251
Montgomery County,Alabama,32.2203,-86.2076
Shelby County,Alabama,33.2643,-86.6607
Lee County,Alabama,32.6011,-85.3555
Morgan County,Alabama,34.4535,-86.8529
Calhoun County,Alabama,33.7714,-85.826
Houston County,Alabama,31.1532,-85.3025
Limestone County,Alabama,34.8101,-86.9814
Etowah County,Alabama,34.0453,-86.0348
Marshall County,Alabama,34.367,-86.3066
Lauderdale County,Alabama,34.9014,-87.654
St. Clair County,Alabama,33.7157,-86.3146
Cullman County,Alabama,34.1319,-86.8676
Elmore County,Alabama,32.5966,-86.1492
Talladega County,Alabama,33.3801,-86.1659
DeKalb County,Alabama,34.4598,-85.8041
Walker County,Alabama,33.8033,-87.2973
Blount County,Alabama,33.9809,-86.5674
Russell County,Alabama,32.2884,-85.1849
Autauga County,Alabama,32.5349,-86.6427
Colbert County,Alabama,34.7005,-87.8049
Coffee County,Alabama,31.4027,-85.9882
Jackson County,Alabama,34.7795,-85.9994
Dale County,Alabama,31.4318,-85.611
Chilton County,Alabama,32.8479,-86.7188
Tallapoosa County,Alabama,32.8624,-85.7975
Dallas County,Alabama,32.326,-87.1065
Covington County,Alabama,31.2485,-86.4513
Escambia County,Alabama,31.1261,-87.1616
Chambers County,Alabama,32.9143,-85.392
Lawrence County,Alabama,34.5217,-87.311
Pike County,Alabama,31.8027,-85.9409
Franklin County,Alabama,34.4417,-87.8437
Marion County,Alabama,34.1366,-87.8871
Geneva County,Alabama,31.0951,-85.8391
Cherokee County,Alabama,34.1759,-85.6038
Barbour County,Alabama,31.8696,-85.3932
Winston County,Alabama,34.1492,-87.3737
Clarke County,Alabama,31.6767,-87.8308
Bibb County,Alabama,32.9986,-87.1265
Randolph County,Alabama,33.2938,-85.4591
Monroe County,Alabama,31.5709,-87.3654
Macon County,Alabama,32.3859,-85.6926
Marengo County,Alabama,32.2477,-87.7895
Butler County,Alabama,31.7524,-86.6803
Pickens County,Alabama,33.2808,-88.0887
Henry County,Alabama,31.5147,-85.2414
Fayette County,Alabama,33.7212,-87.7389
Washington County,Alabama,31.4076,-88.2079
Cleburne County,Alabama,33.6745,-85.5188
Hale County,Alabama,32.7627,-87.6291
Clay County,Alabama,33.269,-85.8605
Lamar County,Alabama,33.7791,-88.097
Crenshaw County,Alabama,31.7315,-86.3136
Choctaw County,Alabama,32.0198,-88.2632
Sumter County,Alabama,32.5911,-88.1988
Conecuh County,Alabama,31.4293,-86.9937
Wilcox County,Alabama,31.9893,-87.3082
Coosa County,Alabama,32.9362,-86.2477
Bullock County,Alabama,32.1005,-85.7157
Lowndes County,Alabama,32.1547,-86.6501
Perry County,Alabama,32.6385,-87.2944
Greene County,Alabama,32.8531,-87.9522
Anchorage Municipality,Alaska,61.1498,-149.1082
Matanuska-Susitna Borough,Alaska,62.316,-149.5729
Fairbanks North Star Borough,Alaska,64.8078,-146.5654
Kenai Peninsula Borough,Alaska,60.2654,-151.5651
Juneau City and Borough,Alaska,58.4546,-134.1733
Bethel Census Area,Alaska,60.9132,-159.8186
Ketchikan Gateway Borough,Alaska,55.5852,-130.9282
Kodiak Island Borough,Alaska,57.6791,-153.7992
North Slope Borough,Alaska,69.3119,-153.4813
Nome Census Area,Alaska,64.9111,-164.0274
Sitka City and Borough,Alaska,57.2424,-135.3145
Kusilvak Census Area,Alaska,62.1547,-163.3812
Northwest Arctic Borough,Alaska,67.0598,-159.7062
Chugach Census Area,Alaska,60.7234,-145.7714
Southeast Fairbanks Census Area,Alaska,63.8762,-143.213
Prince of Wales-Hyder Census Area,Alaska,55.8011,-133.0167
Yukon-Koyukuk Census Area,Alaska,65.5087,-151.3896
Aleutians West Census Area,Alaska,52.7985,-106.5633
Dillingham Census Area,Alaska,59.8003,-158.2346
Aleutians East Borough,Alaska,55.3671,-161.9803
Petersburg Borough,Alaska,57.1204,-132.934
Copper River Census Area,Alaska,61.8834,-143.9681
Hoonah-Angoon Census Area,Alaska,58.2873,-135.6402
Wrangell City and Borough,Alaska,56.3323,-132.0221
Denali Borough,Alaska,63.6714,-150.0118
Haines Borough,Alaska,59.1198,-135.5001
Skagway Municipality,Alaska,59.563,-135.3363
Lake and Peninsula Borough,Alaska,58.6548,-156.1891
Bristol Bay Borough,Alaska,58.7439,-156.7
Yakutat City and Borough,Alaska,59.8889,-140.3576
Maricopa County,Arizona,33.349,-112.4915
Pima County,Arizona,32.0974,-111.7899
Pinal County,Arizona,32.9044,-111.3448
Yavapai County,Arizona,34.5998,-112.5537
Mohave County,Arizona,35.7041,-113.7579
Yuma County,Arizona,32.7695,-113.9056
Coconino County,Arizona,35.8387,-111.7705
Cochise County,Arizona,31.8796,-109.7512
Navajo County,Arizona,35.3996,-110.3214
Apache County,Arizona,35.3955,-109.4888
Gila County,Arizona,33.7997,-110.8116
Santa Cruz County,Arizona,31.5259,-110.8465
Graham County,Arizona,32.9326,-109.8875
La Paz County,Arizona,33.7294,-113.9815
Greenlee County,Arizona,33.2152,-109.2402
Pulaski County,Arkansas,34.77,-92.312
Benton County,Arkansas,36.3387,-94.2561
Washington County,Arkansas,35.9791,-94.2156
Sebastian County,Arkansas,35.1989,-94.2743
Faulkner County,Arkansas,35.147,-92.332
Saline County,Arkansas,34.6466,-92.6766
Craighead County,Arkansas,35.8308,-90.6328
Garland County,Arkansas,34.5767,-93.1504
White County,Arkansas,35.2563,-91.7456
Lonoke County,Arkansas,34.7543,-91.8888
Jefferson County,Arkansas,34.2683,-91.9304
Pope County,Arkansas,35.4479,-93.0345
Crawford County,Arkansas,35.5881,-94.2428
Crittenden County,Arkansas,35.2057,-90.3078
Greene County,Arkansas,36.1175,-90.5589
Miller County,Arkansas,33.3124,-93.8921
Baxter County,Arkansas,36.2872,-92.3369
Mississippi County,Arkansas,35.7624,-90.0522
Union County,Arkansas,33.1713,-92.5972
Independence County,Arkansas,35.7416,-91.5697
Boone County,Arkansas,36.3086,-93.0915
Hot Spring County,Arkansas,34.3177,-92.9461
Carroll County,Arkansas,36.341,-93.5382
Johnson County,Arkansas,35.5697,-93.4602
Cleburne County,Arkansas,35.5382,-92.0267
St. Francis County,Arkansas,35.022,-90.7478
Poinsett County,Arkansas,35.574,-90.663
Columbia County,Arkansas,33.2143,-93.2273
Ouachita County,Arkansas,33.5934,-92.8819
Clark County,Arkansas,34.051,-93.1764
Logan County,Arkansas,35.2149,-93.7166
Conway County,Arkansas,35.2624,-92.7014
Yell County,Arkansas,35.0026,-93.4108
Hempstead County,Arkansas,33.7354,-93.6684
Polk County,Arkansas,34.4858,-94.2282
Ashley County,Arkansas,33.1912,-91.7685
Randolph County,Arkansas,36.3415,-91.0276
Grant County,Arkansas,34.29,-92.4237
Sharp County,Arkansas,36.1612,-91.4798
Drew County,Arkansas,33.5894,-91.72
Franklin County,Arkansas,35.5124,-93.8906
Arkansas County,Arkansas,34.2892,-91.3742
Marion County,Arkansas,36.2684,-92.6842
Cross County,Arkansas,35.2957,-90.7711
Jackson County,Arkansas,35.5992,-91.2145
Madison County,Arkansas,36.011,-93.7246
Phillips County,Arkansas,34.4274,-90.8489
Lawrence County,Arkansas,36.0412,-91.107
Sevier County,Arkansas,33.9972,-94.2412
Van Buren County,Arkansas,35.5806,-92.5158
Clay County,Arkansas,36.3682,-90.4176
Izard County,Arkansas,36.0949,-91.9134
Lincoln County,Arkansas,33.957,-91.7344
Howard County,Arkansas,34.0889,-93.9936
Stone County,Arkansas,35.8599,-92.1568
Fulton County,Arkansas,36.3817,-91.8182
Little River County,Arkansas,33.7009,-94.2352
Desha County,Arkansas,33.8309,-91.2551
Bradley County,Arkansas,33.4664,-92.1624
Chicot County,Arkansas,33.267,-91.2937
Pike County,Arkansas,34.1635,-93.6564
Perry County,Arkansas,34.9475,-92.9313
Scott County,Arkansas,34.8607,-94.0632
Lee County,Arkansas,34.7805,-90.7808
Montgomery County,Arkansas,34.5389,-93.6596
Nevada County,Arkansas,33.664,-93.3072
Prairie County,Arkansas,34.8298,-91.5528
Searcy County,Arkansas,35.911,-92.6995
Cleveland County,Arkansas,33.8984,-92.1852
Newton County,Arkansas,35.92,-93.2179
Monroe County,Arkansas,34.6778,-91.2039
Dallas County,Arkansas,33.9699,-92.6544
Lafayette County,Arkansas,33.2416,-93.607
Woodruff County,Arkansas,35.1863,-91.2431
Calhoun County,Arkansas,33.5581,-92.503
Los Angeles County,California,34.3219,-118.2247
San Diego County,California,33.0343,-116.7351
Orange County,California,33.7031,-117.7609
Riverside County,California,33.7437,-115.9938
San Bernardino County,California,34.8414,-116.1785
Santa Clara County,California,37.2318,-121.6951
Alameda County,California,37.6469,-121.8887
Sacramento County,California,38.4493,-121.3443
Contra Costa County,California,37.9192,-121.9275
Fresno County,California,36.7582,-119.6493
Kern County,California,35.3426,-118.7301
San Francisco County,California,37.7556,-122.445
Ventura County,California,34.4561,-119.0836
San Joaquin County,California,37.9348,-121.2714
San Mateo County,California,37.4228,-122.3291
Stanislaus County,California,37.5591,-120.9977
Sonoma County,California,38.529,-122.8882
Tulare County,California,36.2202,-118.8005
Solano County,California,38.27,-121.9328
Santa Barbara County,California,34.6729,-120.0169
Monterey County,California,36.2171,-121.2388
Placer County,California,39.0634,-120.7177
Merced County,California,37.1919,-120.7177
San Luis Obispo County,California,35.3871,-120.4044
Santa Cruz County,California,37.0562,-122.0018
Marin County,California,38.0734,-122.7234
Yolo County,California,38.6866,-121.9011
Butte County,California,39.6669,-121.6007
El Dorado County,California,38.7787,-120.5247
Shasta County,California,40.7637,-122.0405
Imperial County,California,33.0395,-115.3654
Madera County,California,37.218,-119.7627
Kings County,California,36.0752,-119.8155
